"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Crow-Armstrong, Pete",691718,24.04376463951272,24.04376463951272,19.971529022261215,4.072235617251508,,,,,,3062,0,0,0,0,0,0,3062,0
"Wetherholt, JJ",802139,19.85714708505105,19.85714708505105,15.800285516500127,0.20785432962655395,3.849007238924386,,,,,3001,0,0,2908,0,93,0,0,0
"Witt Jr., Bobby",677951,15.430421299358546,15.430421299358546,15.204018724608519,0.23659926037846782,-0.010196685628439811,,,,,2565,0,0,0,0,2565,0,0,0
"Rafaela, Ceddanne",678882,13.201417423280066,13.201417423280066,12.377646652620976,0.8237707706590912,,,,,,2962,0,0,0,0,0,0,2962,0
"Pages, Andy",681624,11.843840015186833,11.843840015186833,7.154524368620954,4.689315646565871,,,,,,3059,0,0,0,0,0,0,3059,0
"Giménez, Andrés",665926,11.760757316114638,11.760757316114638,11.347573893720305,-0.06166118643125314,0.4748446088255888,,,,,2740,0,0,0,0,2740,0,0,0
"Winn, Masyn",691026,11.066506062226344,11.066506062226344,7.734155354614195,-0.12215214590683741,3.45450285351898,,,,,2896,0,0,0,0,2896,0,0,0
"Valenzuela, Brandon",678218,10.507594202966361,-0.29825891379270913,-0.29825891379270913,,,10.80585311675907,7.909549746782279,3.066222252119514,-0.16991888214272133,1512,1503,9,0,0,0,0,0,0
"Swanson, Dansby",621020,10.253471344148712,10.253471344148712,10.425603585115416,0.10742798824384898,-0.27956022921055107,,,,,2984,0,0,0,0,2984,0,0,0
"Turang, Brice",668930,10.064330483497484,10.064330483497484,7.453034241988346,0.0308151409939206,2.580481100515214,,,,,3038,0,0,3002,0,36,0,0,0
"Rocchio, Brayan",677587,10.01105381791643,10.01105381791643,8.727715309600711,1.1338350597239788,0.14950344859173864,,,,,3056,0,0,249,0,2807,0,0,0
"Dingler, Dillon",693307,9.79866882114178,,,,,9.79866882114178,6.440402774262289,0.9894016770596701,2.36886436981982,2202,2202,0,0,0,0,0,0,0
"Harris II, Michael",671739,9.686613071716234,9.686613071716234,8.655006999777395,1.0316060719388336,,,,,,2724,0,0,0,0,0,48,2676,0
"Young, Jacob",696285,9.553378782591679,9.553378782591679,10.773995996953307,-1.2206172143616276,,,,,,2468,0,0,0,0,0,0,2468,0
"Arraez, Luis",650333,9.137627765579092,9.137627765579092,8.179631004241061,0.3197192083014969,0.6382775530365301,,,,,2897,0,0,2891,6,0,0,0,0
"Rutschman, Adley",668939,9.064131455692188,,,,,9.064131455692188,5.05338400470457,3.28558029077672,0.7251671602108988,1328,1328,0,0,0,0,0,0,0
"Peters, Tristan",671976,8.903404179769588,8.903404179769588,8.39053388509959,0.5128702946699932,,,,,,2426,0,0,0,0,0,60,2162,204
"Torrens, Luis",620443,8.748690047880059,,,,,8.748690047880059,5.171572846431978,2.5137021664456123,1.0634150350024747,1535,1519,9,0,0,0,0,0,0
"Nuñez, Nasim",683083,8.524907462494271,8.524907462494271,4.660956764803146,0.18805770057634968,3.6758929971147793,,,,,2738,0,0,2411,0,327,0,0,0
"Duran, Ezequiel",677649,8.419806220720568,8.419806220720568,8.393982203472977,-0.04962532250571394,0.07544933975330292,,,,,2746,0,30,486,646,1113,258,6,207
"Lopez, Otto",672640,8.135447853997343,8.135447853997343,5.77444177492022,0.6338153800683213,1.7271906990088013,,,,,2981,0,0,0,0,2981,0,0,0
"Ortiz, Joey",687401,8.108385302551579,8.108385302551579,8.052370584420718,-0.20876897297640726,0.26478369110726807,,,,,2024,0,0,6,628,1390,0,0,0
"Mack, Joe",691788,8.100733015518799,,,,,8.100733015518799,4.258137124755656,3.062452441085433,0.7801434496777149,1678,1678,0,0,0,0,0,0,0
"Mullins, Cedric",656775,8.056272242551756,8.056272242551756,7.7550187635918215,0.3012534789599375,,,,,,2511,0,0,0,0,0,0,2511,0
"Merrill, Jackson",701538,7.931665399564067,7.931665399564067,3.286010428738642,4.645654970825421,,,,,,3048,0,0,0,0,0,0,3048,0
"Bellinger, Cody",641355,7.840376682316578,7.840376682316578,5.589788062826726,2.2505886194898492,,,,,,2657,0,38,0,0,0,2250,321,48
"Wilson, Jacob",805779,7.506170123757129,7.506170123757129,6.643427678261391,0.22601941982163842,0.6367230256741006,,,,,1879,0,0,0,0,1879,0,0,0
"Meidroth, Chase",805367,7.297712147953571,7.297712147953571,4.167816032575768,-0.009693245842832307,3.139589361220633,,,,,2962,0,0,2854,18,90,0,0,0
"Perdomo, Geraldo",672695,7.294677463104163,7.294677463104163,6.935770101869609,0.20369856521704185,0.1552087960175127,,,,,3042,0,0,0,0,3042,0,0,0
"Lowe, Brandon",664040,7.021626131398481,7.021626131398481,6.2093860982159645,,0.8122400331825138,,,,,2711,0,0,2711,0,0,0,0,0
"Hoerner, Nico",663538,6.957562934157916,6.957562934157916,5.3844169483124755,0.05265727386154058,1.5204887119839,,,,,3056,0,0,2822,0,234,0,0,0
"Suzuki, Seiya",673548,6.7616600569123895,6.7616600569123895,3.641777385569821,3.1198826713425603,,,,,,2034,0,0,0,0,0,0,0,2034
"Mesa Jr., Victor",683748,6.166171822988276,6.166171822988276,5.241112269723618,0.9250595532646568,,,,,,1147,0,0,0,0,0,78,51,1018
"Cowser, Colton",681297,6.087412894862037,6.087412894862037,6.503262516756854,-0.4158496218948174,,,,,,1894,0,0,0,0,0,161,1237,496
"Fermin, Freddy",666023,6.066579891772752,,,,,6.066579891772752,1.7976555854774818,2.9101983406843517,1.3587259656109167,1498,1498,0,0,0,0,0,0,0
"Carter, Evan",694497,6.006459202007768,6.006459202007768,7.464721620490543,-1.458262418482775,,,,,,2225,0,0,0,0,0,0,2225,0
"Kwan, Steven",680757,5.977299177151399,5.977299177151399,5.577688894386591,0.3996102827648103,,,,,,2792,0,0,0,0,0,1442,1350,0
"Olson, Matt",621566,5.9098161780370875,5.9098161780370875,4.308487769985746,,1.60132840805134,,,,,3186,0,3183,0,0,0,0,0,3
"Betts, Mookie",605141,5.908315695307852,5.908315695307852,4.842514568852891,0.247291330881694,0.8185097955732646,,,,,2126,0,0,0,0,2126,0,0,0
"Chisholm Jr., Jazz",665862,5.576942320590833,5.576942320590833,7.335479831654634,0.000735223060252907,-1.7592727341240568,,,,,2788,0,0,2788,0,0,0,0,0
