"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2026","2","52.1","1.6","1","0.3","3","36.5","48","25"
"Acuña Jr., Ronald","660670","2026","-6","28.1","-1.8","-1.5","0.6","-2.8","30.5","32","9"
"Adell, Jo","666176","2026","-3","37.3","-0.6","-1.4","0.2","-1.9","31.7","51","19"
"Antonacci, Sam","803011","2026","-4","42.1","-0.3","-0.8","0.3","-0.8","33","38","16"
"Arozarena, Randy","668227","2026","-5","40","-1.9","-0.4","0.2","-2","31.1","40","16"
"Beavers, Dylan","687637","2026","-5","34.4","-1","-1","-0.5","-2.4","30.6","32","11"
"Bellinger, Cody","641355","2026","3","65.6","1.8","-0.1","0.7","2.4","35.2","32","21"
"Benge, Carson","701807","2026","0","41.6","0.7","0.8","-0.4","1.1","35.4","77","32"
"Bleday, JJ","668709","2026","0","50","0.4","-0.7","1","0.7","34.9","30","15"
"Bolte, Henry","703607","2026","4","60.9","1.2","0.2","0","1.4","36.4","46","28"
"Butler, Lawrence","671732","2026","-8","25","-0.2","-0.4","0.4","-0.2","34","40","10"
"Buxton, Byron","621439","2026","1","53.3","-0.2","-1.7","0.8","-1.1","33.9","30","16"
"Caglianone, Jac","695506","2026","-4","36.1","-0.5","-1.3","0.1","-1.7","32","36","13"
"Caissie, Owen","683357","2026","-3","48.6","0.1","0.4","0.3","0.9","33.8","37","18"
"Carpenter, Kerry","681481","2026","-6","24","-0.2","-0.8","0.2","-0.8","31.6","25","6"
"Carrigg, Cole","694249","2026","3","59.4","1.8","0.5","0.2","2.5","36.9","32","19"
"Carroll, Corbin","682998","2026","11","63.4","0.7","1.5","-0.7","1.5","35","71","45"
"Carter, Evan","694497","2026","6","75","0.8","-0.2","0.2","0.8","35.8","44","33"
"Chourio, Jackson","694192","2026","2","53.8","1.2","1.2","0.1","2.5","36.7","26","14"
"Church, Nathan","701675","2026","4","56.1","0.5","0.2","0.5","1.2","35.5","41","23"
"Collins, Isaac","686555","2026","-3","30.4","0.1","1.4","-2","-0.5","33.5","46","14"
"Cowser, Colton","681297","2026","5","64.1","1.3","1.3","-1.2","1.3","35.9","39","25"
"Crawford, Justin","702222","2026","-1","42.4","-0.1","-1.4","0.5","-1","33.7","33","14"
"Crews, Dylan","686611","2026","4","58.1","0.5","1.1","0.1","1.7","35.4","31","18"
"Crow-Armstrong, Pete","691718","2026","20","83.3","2.8","2","-0.1","4.8","39.5","66","55"
"Cruz, Oneil","665833","2026","0","44","-1","0.2","0.1","-0.8","34","25","11"
"DeLauter, Chase","800050","2026","-1","46.2","1.1","0.3","0.8","2.2","34.9","26","12"
"DeLuca, Jonny","676356","2026","4","58.8","0.9","1.2","-0.7","1.4","35.2","34","20"
"Dubón, Mauricio","643289","2026","1","56","0.3","0.1","0.2","0.6","34.6","25","14"
"Duran, Jarren","680776","2026","4","50","0.7","-0.9","0.8","0.6","34.5","42","21"
"Ewing, A.J.","805999","2026","7","75","1.3","0.9","-0.4","1.8","36.2","36","27"
"Freeman, Tyler","671289","2026","-7","25.9","-0.6","-0.8","0.1","-1.2","31.9","27","7"
"Frelick, Sal","686217","2026","-2","40","-0.1","-0.7","-0.4","-1.2","32.4","40","16"
"Friedl, TJ","670770","2026","2","67.9","0","2","-0.8","1.3","35.6","28","19"
"Gilbert, Drew","687551","2026","3","52.5","1.3","1.9","-0.4","2.8","37.2","40","21"
"Greene, Riley","682985","2026","2","52.9","-0.1","0","0.3","0.2","33","34","18"
"Grisham, Trent","663757","2026","-2","44.1","-0.2","2.3","-1.8","0.3","35.2","34","15"
"Happ, Ian","664023","2026","-3","31.7","0.3","0.7","-0.1","1","34.6","63","20"
"Harris II, Michael","671739","2026","8","77.6","0.9","1.9","-0.8","2","36.5","49","38"
"Hernández, Heriberto","681715","2026","1","44.8","1.4","0.6","-0.2","1.8","36.7","29","13"
"Hernández, Teoscar","606192","2026","-3","46.2","-1.5","-2","1.2","-2.3","31.4","26","12"
"Isbel, Kyle","664728","2026","4","59.4","1.5","2.3","-1.3","2.5","37.5","32","19"
"Johnston, Troy","687859","2026","-1","38.2","-1.6","4.8","-3.9","-0.7","32.4","34","13"
"Kwan, Steven","680757","2026","3","60.4","0.3","-1.2","1.1","0.2","34.5","48","29"
"Langford, Wyatt","694671","2026","1","37.5","2","1.2","0.1","3.3","38","32","12"
"Larnach, Trevor","663616","2026","-2","42.9","-2","-1.1","0.9","-2.1","31.6","49","21"
"Lee, Jung Hoo","808982","2026","-4","40.3","-0.1","0.3","0","0.2","33.6","62","25"
"Lile, Daylen","695734","2026","-1","37","0.5","-0.6","0.3","0.2","34.6","46","17"
"Lukes, Nathan","664770","2026","-1","46.9","-0.6","-0.2","0.3","-0.4","33.2","32","15"
"Mangum, Jake","663968","2026","-1","48.8","1.2","-0.2","0.5","1.5","35.9","43","21"
"Marsee, Jakob","805300","2026","5","56.9","0.4","1.7","-1","1.1","35.5","51","29"
"Marsh, Brandon","669016","2026","-4","43.8","0","-0.9","0.6","-0.3","32.9","48","21"
"Martin, Austin","668885","2026","2","51.3","0.6","-0.5","0.6","0.7","34.1","39","20"
"Martínez, Angel","682657","2026","1","50","-0.1","0.4","0.5","0.7","34.2","32","16"
"McCarthy, Jake","664983","2026","0","38.3","0.9","2.3","-1.6","1.5","36.1","47","18"
"Merrill, Jackson","701538","2026","2","54","0.7","0","-0.1","0.6","35.4","50","27"
"Mitchell, Garrett","669003","2026","4","57.1","2","-0.5","0.4","1.9","36.9","49","28"
"Moniak, Mickey","666160","2026","-1","45.8","-0.1","-0.2","0.4","0.1","32.9","24","11"
"Mullins, Cedric","656775","2026","6","63.3","0.3","3.1","-1.8","1.6","36.5","49","31"
"Myers, Dane","667472","2026","0","46.9","0.7","1.2","-1.2","0.7","35.4","32","15"
"Nimmo, Brandon","607043","2026","-1","50","-0.5","-0.9","0.7","-0.8","34","34","17"
"O'Neill, Tyler","641933","2026","-2","43.3","-0.3","-1","0.7","-0.6","32.8","30","13"
"Osuna, Alejandro","696030","2026","-3","41.4","-0.8","-0.3","-0.2","-1.3","32.5","29","12"
"Pages, Andy","681624","2026","7","58.3","1.3","0.6","-0.2","1.7","36.2","72","42"
"Peters, Tristan","671976","2026","6","58.5","2","0.4","0.8","3.2","37.8","41","24"
