"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goldschmidt, Paul","502671","NA","3","First Baseman","332","332","0","0","0","0","0","0","0","0","70.5","64.9",,,,,,,,,"64.9"
"Freeman, Freddie","518692","NA","3","First Baseman","804","804","0","0","0","0","0","0","0","0","84","78.3",,,,,,,,,"78.3"
"Vargas, Ildemaro","545121","NA","3","First Baseman","579","233","320","5","21","0","0","0","346","0","84.5","73.9","74",,,,,,"75.4",,"75.4"
"Harper, Bryce","547180","NA","3","First Baseman","339","256","0","0","0","0","0","83","0","83","93.7","85.6",,,,,,"90.7",,"90.7","90.7"
"Walker, Christian","572233","NA","3","First Baseman","480","480","0","0","0","0","0","0","0","0","75","73",,,,,,,,,"73"
"Contreras, Willson","575929","NA","3","First Baseman","586","586","0","0","0","0","0","0","0","0","86.6","85",,,,,,,,,"85"
"Olson, Matt","621566","NA","3","First Baseman","819","819","0","0","0","0","0","0","0","0","87.8","80.8",,,,,,,,,"80.8"
"Alonso, Pete","624413","NA","3","First Baseman","679","679","0","0","0","0","0","0","0","0","79.5","74.9",,,,,,,,,"74.9"
"Bauers, Jake","641343","NA","3","First Baseman","429","349","0","0","0","29","0","51","0","80","92.6","78.4",,,,,,"84.4",,"86.2","86.2"
"Devers, Rafael","646240","NA","3","First Baseman","555","555","0","0","0","0","0","0","0","0","82.6","80",,,,,,,,,"80"
"Naylor, Josh","647304","NA","3","First Baseman","617","617","0","0","0","0","0","0","0","0","82.6","81.1",,,,,,,,,"81.1"
"Hoskins, Rhys","656555","NA","3","First Baseman","241","241","0","0","0","0","0","0","0","0","73","72.4",,,,,,,,,"72.4"
"Smith, Pavin","656976","NA","3","First Baseman","115","115","0","0","0","0","0","0","0","0","72.1","69",,,,,,,,,"69"
"Sheets, Gavin","657757","NA","3","First Baseman","243","180","0","0","0","56","0","7","0","63","93.1","76.6",,,,"88.9",,,,"89.3","89.3"
"Lowe, Nathaniel","663993","NA","3","First Baseman","222","222","0","0","0","0","0","0","0","0","80.4","78.1",,,,,,,,,"78.1"
"France, Ty","664034","NA","3","First Baseman","558","554","0","4","0","0","0","0","4","0","77.2","74.2",,,,,,,,,"74.2"
"Guerrero Jr., Vladimir","665489","NA","3","First Baseman","628","628","0","0","0","0","0","0","0","0","85.5","79.3",,,,,,,,,"79.3"
"Chaparro, Andrés","665953","NA","3","First Baseman","119","114","0","5","0","0","0","0","5","0","80.7","74.1",,,,,,,,,"74.1"
"Aranda, Jonathan","666018","NA","3","First Baseman","467","467","0","0","0","0","0","0","0","0","82.5","80.1",,,,,,,,,"80.1"
"Steer, Spencer","668715","NA","3","First Baseman","269","101","51","0","0","61","2","54","51","117","91.3","69.5",,,,"83.5",,"86.8",,"86.4","86.4"
"Vientos, Mark","668901","NA","3","First Baseman","276","273","0","3","0","0","0","0","3","0","85.4","79.2",,,,,,,,,"79.2"
"Lewis, Royce","668904","NA","3","First Baseman","452","295","78","79","0","0","0","0","157","0","83.2","77.3","76.4","82.9",,,,,"82.7",,"82.7"
"Stowers, Kyle","669065","NA","3","First Baseman","421","308","0","0","0","78","0","35","0","113","93.9","83.7",,,,"87.2",,,,"87.2","87.2"
"Burger, Jake","669394","NA","3","First Baseman","639","639","0","0","0","0","0","0","0","0","82.5","78.8",,,,,,,,,"78.8"
"García Jr., Luis","671277","NA","3","First Baseman","388","388","0","0","0","0","0","0","0","0","83.9","80.4",,,,,,,,,"80.4"
"Burleson, Alec","676475","NA","3","First Baseman","519","519","0","0","0","0","0","0","0","0","79.6","77.8",,,,,,,,,"77.8"
"Young, Jared","676724","NA","3","First Baseman","346","332","0","0","0","13","0","1","0","14","84.6","71.3",,,,,,,,,"71.3"
"Torkelson, Spencer","679529","NA","3","First Baseman","803","803","0","0","0","0","0","0","0","0","73.6","68.4",,,,,,,,,"68.4"
