"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Crow-Armstrong, Pete",691718,26.792630219972366,26.792630219972366,23.081889161919115,3.710741058053235,,,,,,,3972,0,0,0,0,0,0,3972,0
"Wetherholt, JJ",802139,22.181013285705784,22.181013285705784,17.375337142638504,0.4428026030720146,4.362873539995255,,,,,,3471,0,0,3181,0,290,0,0,0
"Winn, Masyn",691026,16.436508078574047,16.436508078574047,13.473628202068758,-0.1285748115279017,3.0914546880331892,,,,,,3325,0,0,0,0,3325,0,0,0
"Witt Jr., Bobby",677951,15.64573295129784,15.64573295129784,16.80606230122259,0.22492911559034784,-1.3852584655151017,,,,,,3471,0,0,0,0,3471,0,0,0
"Giménez, Andrés",665926,15.169470985537219,15.169470985537219,13.815447693591919,0.8040175930714325,0.5500056988738703,,,,,,3429,0,0,0,0,3429,0,0,0
"Rafaela, Ceddanne",678882,15.02633654016976,15.02633654016976,13.859170564878042,1.1671659752917196,,,,,,,3478,0,0,0,0,0,0,3478,0
"Dingler, Dillon",693307,13.429349151382755,,,,,,13.429349151382755,7.785886723251423,2.930357317310228,2.7131051108211044,2879,2879,0,0,0,0,0,0,0
"Duran, Ezequiel",677649,13.080646124836395,13.080646124836395,12.441708405003958,0.5311001656141003,0.006998498891753958,0.10083905532658383,,,,,3691,0,54,666,1024,1209,282,240,216
"Turang, Brice",668930,12.49384621661961,12.49384621661961,9.346571859820257,0.030061303566753954,3.1172130532325966,,,,,,3812,0,0,3776,0,36,0,0,0
"Perdomo, Geraldo",672695,12.219195695277385,12.219195695277385,11.194225630919103,0.39067371112442223,0.6342963532338598,,,,,,3960,0,0,0,0,3960,0,0,0
"Ortiz, Joey",687401,11.929041964665238,11.929041964665238,11.201321432890055,-0.20814756128424666,0.9358680930594339,,,,,,2843,0,6,6,1116,1715,0,0,0
"Pages, Andy",681624,11.817600939176698,11.817600939176698,7.64196126735649,4.175639671820198,,,,,,,3290,0,0,0,0,0,0,3290,0
"Valenzuela, Brandon",678218,11.703991158278088,-0.1701548184526057,-0.19046963455702945,,,0.02031481610442376,11.874145976730691,7.3369767563132635,5.09920200492016,-0.5620327845027401,1856,1799,57,0,0,0,0,0,0
"Swanson, Dansby",621020,11.53563632905607,11.53563632905607,12.220046611076999,0.1142057856484369,-0.7986160676693618,,,,,,3122,0,0,0,0,3122,0,0,0
"Rutschman, Adley",668939,11.45806804311887,,,,,,11.45806804311887,6.487146981565374,4.047631129462616,0.9232899320908724,1928,1928,0,0,0,0,0,0,0
"Lowe, Brandon",664040,11.384718308832507,11.384718308832507,10.578603859473159,,0.8061144493593493,,,,,,3412,0,0,3412,0,0,0,0,0
"Olson, Matt",621566,11.220967569878631,11.220967569878631,8.192066385467614,,2.4068034467223023,0.6220977376887113,,,,,4131,0,4128,0,0,0,0,0,3
"McKinstry, Zach",656716,11.006558487694033,11.006558487694033,6.145577414709591,4.393956853238515,0.467024219745923,,,,,,2800,0,0,749,121,573,39,99,1213
"Harris II, Michael",671739,10.887964477164013,10.887964477164013,10.769923512755152,0.11804096440885947,,,,,,,3651,0,0,0,0,0,48,3603,0
"Meidroth, Chase",805367,10.776129832973353,10.776129832973353,7.572625333987865,-0.008231543951473113,3.211736042936962,,,,,,3941,0,0,3761,18,162,0,0,0
"Rocchio, Brayan",677587,10.76624102852486,10.76624102852486,9.866434175582999,1.1323119608817287,-0.2325051079398694,,,,,,3878,0,0,249,0,3629,0,0,0
"Merrill, Jackson",701538,10.631462283216905,10.631462283216905,5.403679507440868,5.227782775776035,,,,,,,3964,0,0,0,0,0,0,3964,0
"Arraez, Luis",650333,10.627556830031512,10.627556830031512,9.361241947373765,0.31538108402398957,0.9509337986337603,,,,,,3760,0,0,3754,6,0,0,0,0
"Lopez, Otto",672640,10.56873875738127,10.56873875738127,8.909867042158067,0.6858043898875917,0.9730673253356115,,,,,,3930,0,0,0,0,3930,0,0,0
"France, Ty",664034,10.341580620471143,10.341580620471143,6.293924220350977,,0.8465126482013811,3.201143751918783,,,,,2950,0,2932,0,18,0,0,0,0
"Peters, Tristan",671976,10.199076432134856,10.199076432134856,10.533911596792407,-0.3348351646575497,,,,,,,3261,0,0,0,0,0,234,2712,315
"DeLuca, Jonny",676356,10.054678520087547,10.054678520087547,10.903885233275744,-0.8492067131881955,,,,,,,2184,0,0,0,0,0,66,906,1212
"Montgomery, Colson",695657,10.039282252636163,10.039282252636163,8.802797351903859,0.06363212533738515,1.1728527753949227,,,,,,3593,0,0,0,761,2832,0,0,0
"Torrens, Luis",620443,9.667502329115047,0.008590868601711543,,,,0.008590868601711543,9.658911460513334,5.884638141148725,2.1641815711519423,1.6100917482126593,1962,1946,9,0,0,0,0,0,0
"Mack, Joe",691788,9.51409208319446,,,,,,9.51409208319446,4.81032361790355,4.614031797657661,0.08973666763325043,2276,2276,0,0,0,0,0,0,0
"Fermin, Freddy",666023,9.361135310887938,,,,,,9.361135310887938,2.787098962532231,4.194137582841249,2.37989876551446,1946,1946,0,0,0,0,0,0,0
"Mullins, Cedric",656775,9.242461364924727,9.242461364924727,10.021432263740218,-0.778970898815496,,,,,,,3147,0,0,0,0,0,0,3147,0
"Kirk, Alejandro",672386,9.205336949755964,,,,,,9.205336949755964,6.987833733807599,-1.3590594600097823,3.576562675958142,1703,1703,0,0,0,0,0,0,0
"Mesa Jr., Victor",683748,9.045157414194504,9.045157414194504,8.265626595406863,0.7795308187876415,,,,,,,1615,0,0,0,0,0,81,51,1483
"Cowser, Colton",681297,8.933875661999773,8.933875661999773,9.080978814461204,-0.14710315246143468,,,,,,,2544,0,0,0,0,0,161,1887,496
"Carter, Evan",694497,8.693291731249383,8.693291731249383,9.523058837703655,-0.8297671064542723,,,,,,,2924,0,0,0,0,0,0,2924,0
"Bellinger, Cody",641355,8.654686958402433,8.654686958402433,5.073174201793946,3.533608961433878,,0.047903795174606134,,,,,3337,0,50,0,0,0,2918,321,48
"Young, Jacob",696285,8.64773699031758,8.64773699031758,9.993897941895893,-1.3461609515783186,,,,,,,3150,0,0,0,0,0,0,3150,0
"Hoerner, Nico",663538,8.5837103194834,8.5837103194834,7.352804767294417,0.05188904871327352,1.1790165034756999,,,,,,3969,0,0,2936,0,1033,0,0,0
"Heineman, Tyler",623168,8.267407533379656,,,,,,8.267407533379656,5.84706491753435,2.433999860793685,-0.013657244948379624,1530,1514,0,0,0,0,0,0,0
"Lukes, Nathan",664770,8.16257151036833,8.16257151036833,1.8684477011907723,6.294123809177561,,,,,,,2654,0,0,0,0,0,240,177,2237
"Chourio, Jackson",694192,8.131240442067579,8.131240442067579,5.345137447016514,2.7861029950510665,,,,,,,3148,0,0,0,0,0,2948,197,3
"Nuñez, Nasim",683083,7.98285102018361,7.98285102018361,3.187026385252451,0.18840702767957976,4.607417607251573,,,,,,3372,0,0,2526,0,846,0,0,0
"Suzuki, Seiya",673548,7.87009825287959,7.87009825287959,4.037554670661852,3.8325435822177383,,,,,,,2780,0,0,0,0,0,0,0,2780
"Moreno, Gabriel",672515,7.822359251492553,,,,,,7.822359251492553,5.090445858935656,1.6032265633072773,1.12868682924962,2589,2586,0,0,3,0,0,0,0
"Massey, Michael",686681,7.794347108211165,7.794347108211165,8.678907358181604,-0.11900819458521003,-0.7655520553852283,,,,,,2917,0,0,2848,6,0,60,0,3
"Wilson, Jacob",805779,7.740569482768525,7.740569482768525,6.879922271515608,0.22910713367426155,0.6315400775786562,,,,,,1912,0,0,0,0,1912,0,0,0
"Benge, Carson",701807,7.335961182892787,7.335961182892787,0.11213244411068857,7.223828738782102,,,,,,,3861,0,0,0,0,0,351,243,3267
"Machado, Manny",592518,7.26117250685052,7.26117250685052,7.507185677819392,,-0.24601317096887204,,,,,,3516,0,0,0,3516,0,0,0,0
"Wells, Austin",669224,7.234423761849445,,,,,,7.234423761849445,6.386376453311994,-1.5331671841047427,2.3812144926421954,2800,2800,0,0,0,0,0,0,0
"Kwan, Steven",680757,7.185885532559848,7.185885532559848,6.8254900548379895,0.360395477721854,,,,,,,3659,0,0,0,0,0,1832,1827,0
"Chisholm Jr., Jazz",665862,6.677575612652861,6.677575612652861,8.809695696861805,-0.053722007898171,-2.078398076310773,,,,,,3384,0,0,3384,0,0,0,0,0
"Bregman, Alex",608324,6.660595642376429,6.660595642376429,6.486216186988158,,0.1743794553882724,,,,,,3744,0,0,0,3744,0,0,0,0
"Walker, Christian",572233,6.5672118600522245,6.5672118600522245,2.906886591809108,,2.075417498418938,1.5849077698241785,,,,,3746,0,3746,0,0,0,0,0,0
"Goldschmidt, Paul",502671,6.560923761514426,6.560923761514426,3.7562316798857083,,1.0345500676045387,1.7701420140241786,,,,,1843,0,1843,0,0,0,0,0,0
"Lowe, Josh",666139,6.3537997646103666,6.3537997646103666,2.050632015227072,4.3031677493833005,,,,,,,2269,0,0,0,0,0,1024,363,882
"Betts, Mookie",605141,6.326845012591566,6.326845012591566,5.661394864726554,0.2474133726936567,0.41803677517135845,,,,,,3008,0,0,0,0,3008,0,0,0
"Bailey, Patrick",672275,6.0076094320996205,,,,,,6.0076094320996205,4.5820620299249315,3.10401885897977,-1.67847145680508,2403,2403,0,0,0,0,0,0,0
"Burleson, Alec",676475,5.961423037900496,5.961423037900496,-0.3034049143131544,0.01721038952579829,0.8698339673848177,5.377783595303036,,,,,3869,0,3869,0,0,0,0,0,0
"Happ, Ian",664023,5.9061748602461925,5.9061748602461925,1.2215602234779939,4.684614636768198,,,,,,,3584,0,0,0,0,0,3584,0,0
